"DeployID","Site","Lat","Lon","StartDate","EndDate"
"976193b3c4433213e0e2","Primary",NA,NA,NA,NA
"dfd66b167d477cfc1665","Primary",NA,NA,NA,NA
"28220484f80d9f15c1cf","Primary",NA,NA,NA,NA
"3fe66082d13571b70543","Primary",NA,NA,NA,NA
"c2a189953b5dd7a0942f","Primary",NA,NA,NA,NA
"8c79ce050af1da033e24","Primary",NA,NA,NA,NA
"440e3f156d5148fce6ce","Primary",NA,NA,NA,NA
"37a8e8ab267edf4a5589","Primary",NA,NA,NA,NA
"046e8de960115ab0eaf6","Primary",NA,NA,NA,NA
"e6eaa73283cc975fb8f0","Primary",NA,NA,NA,NA
"3840f172bcea7824118c","Primary",NA,NA,NA,NA
"8b9c1679500ee0480a3b","Primary",NA,NA,NA,NA
"daeb5b48a2dfa307af76","Primary",NA,NA,NA,NA
"a9bbf183ae1df4f8c483","Primary",NA,NA,NA,NA
"85d375c73eb5e33372b1","Primary",NA,NA,NA,NA
"fa529cd0e7aee66a637f","Primary",NA,NA,NA,NA
"59a1d53b634b606d0215","Primary",NA,NA,NA,NA
"1546fa0b2abcef4bc493","Primary",NA,NA,NA,NA
"2fde6f9f7aaeb191b41d","Primary",NA,NA,NA,NA
"42556e6cb296ca5b27fe","Primary",NA,NA,NA,NA
